Execucao,Algoritmo,Tempo (s)
1,Quick Sort (Pivô Direito),0.001
1,Quick Sort (Mediana de 3),0.001
1,Bubble Sort,0.105
2,Quick Sort (Pivô Direito),0.001
2,Quick Sort (Mediana de 3),0.001
2,Bubble Sort,0.107
3,Quick Sort (Pivô Direito),0.001
3,Quick Sort (Mediana de 3),0.000
3,Bubble Sort,0.104
4,Quick Sort (Pivô Direito),0.000
4,Quick Sort (Mediana de 3),0.001
4,Bubble Sort,0.108
5,Quick Sort (Pivô Direito),0.001
5,Quick Sort (Mediana de 3),0.000
5,Bubble Sort,0.105
6,Quick Sort (Pivô Direito),0.001
6,Quick Sort (Mediana de 3),0.001
6,Bubble Sort,0.101
7,Quick Sort (Pivô Direito),0.000
7,Quick Sort (Mediana de 3),0.001
7,Bubble Sort,0.102
8,Quick Sort (Pivô Direito),0.000
8,Quick Sort (Mediana de 3),0.001
8,Bubble Sort,0.102
9,Quick Sort (Pivô Direito),0.000
9,Quick Sort (Mediana de 3),0.001
9,Bubble Sort,0.101
10,Quick Sort (Pivô Direito),0.000
10,Quick Sort (Mediana de 3),0.001
10,Bubble Sort,0.101
